Date,DIS,WMT,WBA,VZ,UNH,TRV,PG,NKE,MSFT,MRK,MMM,MCD,JPM,KO,JNJ,INTC,IBM,HON,HD,GS,CSCO,CVX,CAT,BA,AAPL,AMGN,AXP
2018-06-15,0.0010141432,0.00043098629,0.00062672794,0.00024598837000000003,0.0016914605999999999,0.00035448372000000005,0.00025711954,-0.000578776,0.0011628121,0.00012272596,0.00077622384,0.0009626299000000001,0.0011639446,0.00025369227000000003,0.00047515333,0.0006026625599999999,-0.00019224733,0.00041264296,0.0007375478999999999,0.0009661317,0.0007921308,0.0009769946000000001,0.0011492372,0.0011065602,0.00054357946,-4.10825e-05,0.0004966408000000001
2018-06-18,0.0010141432,0.00042887777,0.0006307959599999999,0.00024265050999999998,0.0016775131,0.00034037232000000005,0.0002587363,-0.0006026178599999999,0.0011414736999999999,5.3912399999999996e-05,0.00077622384,0.0009566992500000001,0.0011545122,0.00024144351000000003,0.00047263503,0.0006579608,-0.00020026416,0.00040018559000000003,0.0007420033,0.0009496212,0.0007789135000000001,0.0010228157,0.0011880845,0.001103431,0.0005014837000000001,-4.8868358e-05,0.00047694147000000006
2018-06-19,0.0010141432,0.00042732059999999996,0.0006337762,0.00024038553,0.0016595125,0.00032897294,0.0002598241,-0.0006278604,0.0011348277,3.671646e-05,0.00077622384,0.0009588599,0.0011435598,0.00023578107000000003,0.00047303735999999996,0.0006981045,-0.00020558386999999998,0.00039066373999999994,0.00074769557,0.0009261369699999998,0.00076672435,0.0010560304,0.0012272447,0.0011007636999999999,0.00043976307,-5.5864453000000005e-05,0.00046189129999999997
2018-06-20,0.0010141432,0.0004280507599999999,0.0006354301999999999,0.00023910402999999998,0.0016438365,0.00032137334,0.0002599433,-0.0006325692,0.0011416078,0.000112205744,0.00077622384,0.00096306205,0.0011332184,0.00023259222999999997,0.00047810375999999996,0.0007261336,-0.00020690261999999998,0.00038459897,0.0007405877,0.00089906156,0.0007580369999999999,0.0010714382000000001,0.0012668222,0.00109905,0.0003927052,-6.148219e-05,0.00045378505999999993
2018-06-21,0.0010141432,0.00042750685999999995,0.0006353855,0.00023721159,0.0016467273,0.0003180951,0.00025885552000000004,-0.0006440133,0.0011544526,3.400445e-05,0.0007762313,0.0009599626,0.0011204779,0.00023245066000000003,0.00047987699999999997,0.0007435232400000001,-0.0002058968,0.00037622452000000007,0.00073087215,0.0008694976600000001,0.0007448941499999999,0.0010762066000000001,0.001300022,0.0010905266,0.0003362447,-6.600469e-05,0.00044876337
2018-06-22,0.0010141432,0.0004252419,0.0006365478,0.00023414195,0.0016569048000000001,0.00032037497000000003,0.00025408715,-0.0006338655999999999,0.0011695474,2.3573637e-05,0.0007762313,0.0009573698,0.0011104345,0.00022894144,0.0004773587,0.00075671077,-0.00020237266999999999,0.0003671646,0.0007095188000000001,0.00084118545,0.0007367580999999999,0.0010871887,0.0013229251,0.0010789633,0.00031547248,-6.718188500000001e-05,0.00044292212
2018-06-25,0.0010832548,0.0003838539,0.00012612343,0.0013865083,0.008122265,0.003242746,0.0017613769,-0.005742371,0.004095927,-0.005237728400000001,0.00077432394,-0.0035651028000000004,0.00041159987,0.0022353082999999998,0.0006146878,-0.0013155192,0.00093572587,-0.0026661903000000002,0.0005861372,0.0032482594,0.0044739841999999995,0.005990997,-0.0011386871,-0.002767235,-0.0052006394,0.004555084,0.00023318827
2018-06-26,0.0010303259,0.0002926588,0.00043836235999999995,0.00030486286,0.0004976094,0.00050640106,0.00036995112999999995,0.0012249649000000001,0.0003572479,0.0025852919,0.00077432394,0.0005284101,0.00071817636,0.00023432076000000002,0.0007738769,0.000293687,0.00012616068000000002,0.00019277631999999997,0.00075402856,0.00082471967,0.0005531907,0.0011580586,0.00017145276000000002,0.0005914867,0.00019302964,0.0006984472,0.00032781065
2018-06-27,0.001018092,0.00029060990000000003,0.00050750375,3.33786e-06,-0.00062838197,-0.00031229854,-3.568828e-05,0.0015598834,-7.353723e-06,2.7477741000000002e-05,0.00077588856,0.0018112063,0.0008583516,-0.00017743558,0.0007236153,0.0008533746,-0.00015239418,0.00093100965,0.00085157156,0.00014999508999999998,-0.0005156844999999999,-0.00017909706000000003,0.0007010250999999999,0.0014311522,0.0015472770000000001,-0.00057049096,0.00039114057999999996
2018-06-28,0.0010154694,0.00032099336,0.0005002916,-3.1605363e-05,0.00029695034,-0.0003631115,-7.084012e-05,0.00027823447999999996,0.0006645173,-0.00053063035,0.00077611953,0.001902476,0.00093339384,-6.8850815e-05,0.00050245225,0.0010184348,-0.0002302602,0.00095665455,0.0007805228,0.00014327466,-0.00044423342000000004,-0.00012233853000000002,0.0009330213,0.0014900267000000002,0.0013898164000000002,-0.0007343292,0.00044447184
2018-06-29,0.0010147244,0.0003606677,0.00047314167000000004,9.343028e-06,0.0014539212,-0.00016032159999999999,1.2010336e-05,-0.0008933544,0.0013632326999999998,-0.0007849037599999999,0.0007761419,0.001591444,0.0009781867,0.00015112013,0.00049874187,0.0010509938000000001,-0.00023765862,0.0007867067999999999,0.00070653856,0.0003322065,-2.8118491e-05,0.00037112832,0.00105609,0.0013446360999999998,0.0008617043499999999,-0.000509806,0.000495553
